url,domain,category,barrier,topical_authority,source_of_label
917society.org,917society.org,Non-media-industry,Mid,third-party,llm_agreement
a-koike.gr.jp,a-koike.gr.jp,,Mid,third-party,human
aals.org,aals.org,Academia,High,third-party,llm_agreement
abc-square.com,abc-square.com,,Mid,third-party,human
abc7news.com,abc7news.com,Media,Mid,third-party,llm_agreement
abcnews.com,abcnews.com,Media,Mid,third-party,llm_agreement
abema.tv,abema.tv,,Mid,third-party,human
jcp-shinko.jp,jcp-shinko.jp,Party,Primary,primary,llm_agreement
jcp-shizuoka.jp,jcp-shizuoka.jp,Party,Primary,primary,llm_agreement
jcp-tokyo.net,jcp-tokyo.net,Party,Primary,primary,llm_agreement
jcp-toshima.jp,jcp-toshima.jp,Party,Primary,primary,llm_agreement
jcp-warabi.jp,jcp-warabi.jp,Party,Primary,primary,llm_agreement
jcp.or.jp,jcp.or.jp,Party,Primary,primary,llm_agreement
jcpmkd.jp,jcpmkd.jp,Party,Primary,primary,llm_agreement
moneypost.jp,moneypost.jp,Media,Mid,third-party,llm_agreement
moneyweek.com,moneyweek.com,Media,Mid,third-party,llm_agreement
monodone.com,monodone.com,,Mid,third-party,human
monroepadems.com,monroepadems.com,Party,Primary,primary,llm_agreement
moomoo.com,moomoo.com,Non-media-industry,Mid,third-party,llm_agreement
morrisonglobal.com,morrisonglobal.com,Non-media-industry,Mid,third-party,llm_agreement
motomura-nobuko.jp,motomura-nobuko.jp,Owned,Low,third-party,llm_agreement
foejapan.org,foejapan.org,Non-media-industry,Mid,third-party,llm_agreement
foodandwateraction.org,foodandwateraction.org,Non-media-industry,Mid,third-party,llm_agreement
forbes.com,forbes.com,Media,Mid,third-party,llm_agreement
fordhaminstitute.org,fordhaminstitute.org,Non-media-industry,Mid,third-party,llm_agreement
fordlibrarymuseum.gov,fordlibrarymuseum.gov,Government,High,third-party,llm_agreement
forecastinternational.com,forecastinternational.com,Non-media-industry,Mid,third-party,llm_agreement
foreignaffairs.com,foreignaffairs.com,Media,Mid,third-party,llm_agreement
healthnet.jp,healthnet.jp,Non-media-industry,Mid,third-party,llm_agreement
heartland.org,heartland.org,Non-media-industry,Mid,third-party,llm_agreement
heritage.org,heritage.org,Non-media-industry,Mid,third-party,llm_agreement
hhs.com,hhs.com,Non-media-industry,Mid,third-party,llm_agreement
hidetaka-inoue.com,hidetaka-inoue.com,Owned,Low,third-party,llm_agreement
higheredtoday.org,higheredtoday.org,,Mid,third-party,human
highergroundlabs.com,highergroundlabs.com,Non-media-industry,Mid,third-party,llm_agreement
kochinews.co.jp,kochinews.co.jp,Media,Mid,third-party,llm_agreement
kodomo-hou21.net,kodomo-hou21.net,Non-media-industry,Mid,third-party,llm_agreement
kodomoandkazoku.jp,kodomoandkazoku.jp,Non-media-industry,Mid,third-party,llm_agreement
kokumin-ai.jp,kokumin-ai.jp,Party,Primary,primary,llm_agreement
kokuminanzen.com,kokuminanzen.com,,Mid,third-party,human
kokuminkaikan.jp,kokuminkaikan.jp,Non-media-industry,Mid,third-party,llm_agreement
kokuta-keiji.jp,kokuta-keiji.jp,Owned,Low,third-party,llm_agreement
hirataku.com,hirataku.com,Owned,Low,third-party,llm_agreement
hiroben.or.jp,hiroben.or.jp,Non-media-industry,Mid,third-party,llm_agreement
historicalindex.org,historicalindex.org,,Mid,third-party,human
hitopedia.net,hitopedia.net,,Mid,third-party,human
hituzi.co.jp,hituzi.co.jp,Academia,High,third-party,llm_agreement
hklaw.com,hklaw.com,Non-media-industry,Mid,third-party,llm_agreement
hoganlovells.com,hoganlovells.com,Non-media-industry,Mid,third-party,llm_agreement
naacp.org,naacp.org,Non-media-industry,Mid,third-party,llm_agreement
naco.org,naco.org,Non-media-industry,Mid,third-party,llm_agreement
nagasakipeace.jp,nagasakipeace.jp,Government,High,third-party,llm_agreement
nagomi-asia.or.jp,nagomi-asia.or.jp,Non-media-industry,Mid,third-party,llm_agreement
nagoyatv.com,nagoyatv.com,Media,Mid,third-party,llm_agreement
nakagawa-masaharu.jp,nakagawa-masaharu.jp,Owned,Low,third-party,llm_agreement
nam.co.jp,nam.co.jp,Non-media-industry,Mid,third-party,llm_agreement
federalregister.gov,federalregister.gov,Government,High,third-party,llm_agreement
federalsafetynet.com,federalsafetynet.com,Owned,Low,third-party,llm_agreement
federaltimes.com,federaltimes.com,Media,Mid,third-party,llm_agreement
fedscoop.com,fedscoop.com,Media,Mid,third-party,llm_agreement
fee.org,fee.org,Non-media-industry,Mid,third-party,llm_agreement
fepc.or.jp,fepc.or.jp,Non-media-industry,Mid,third-party,llm_agreement
fff.org,fff.org,Non-media-industry,Mid,third-party,llm_agreement
usni.org,usni.org,,Mid,third-party,human
uspoliticalpartyplatforms.com,uspoliticalpartyplatforms.com,,Mid,third-party,human
usresistnews.org,usresistnews.org,Media,Mid,third-party,llm_agreement
ustpm.org,ustpm.org,Party,Primary,primary,llm_agreement
usustatesman.com,usustatesman.com,Media,Mid,third-party,llm_agreement
utahpolicy.com,utahpolicy.com,Media,Mid,third-party,llm_agreement
utexas.edu,utexas.edu,Academia,High,third-party,llm_agreement
compactmag.com,compactmag.com,Media,Mid,third-party,llm_agreement
computerweekly.com,computerweekly.com,Media,Mid,third-party,llm_agreement
concordcoalition.org,concordcoalition.org,Non-media-industry,Mid,third-party,llm_agreement
conference-board.org,conference-board.org,Non-media-industry,Mid,third-party,llm_agreement
congrant.com,congrant.com,,Mid,third-party,human
congress.gov,congress.gov,Government,High,third-party,llm_agreement
connectiu.com,connectiu.com,,Mid,third-party,human
jessicariedl.blog,jessicariedl.blog,Owned,Low,third-party,llm_agreement
jetro.go.jp,jetro.go.jp,Government,High,third-party,llm_agreement
jfir.or.jp,jfir.or.jp,Non-media-industry,Mid,third-party,llm_agreement
jfit.co.jp,jfit.co.jp,Non-media-industry,Mid,third-party,llm_agreement
jfpu.org,jfpu.org,Non-media-industry,Mid,third-party,llm_agreement
jfss.gr.jp,jfss.gr.jp,Non-media-industry,Mid,third-party,llm_agreement
jftc.go.jp,jftc.go.jp,Government,High,third-party,llm_agreement
komei-shimbun.jp,komei-shimbun.jp,Party,Primary,primary,llm_agreement
komei.or.jp,komei.or.jp,Party,Primary,primary,llm_agreement
kondosentaku.jp,kondosentaku.jp,Owned,Low,third-party,llm_agreement
korea-ngo.org,korea-ngo.org,Non-media-industry,Mid,third-party,llm_agreement
kosakaeiji.jp,kosakaeiji.jp,Owned,Low,third-party,llm_agreement
kotankyo.jp,kotankyo.jp,Academia,High,third-party,llm_agreement
kotobank.jp,kotobank.jp,,Mid,third-party,human
agrifact.jp,agrifact.jp,Media,Mid,third-party,llm_agreement
agstax.or.jp,agstax.or.jp,Non-media-industry,Mid,third-party,llm_agreement
ah-visa.com,ah-visa.com,Non-media-industry,Mid,third-party,llm_agreement
ai-commission.com,ai-commission.com,Non-media-industry,Mid,third-party,llm_agreement
ai-government-portal.com,ai-government-portal.com,,Mid,third-party,human
aiben.jp,aiben.jp,Non-media-industry,Mid,third-party,llm_agreement
aichi.jp,aichi.jp,,Mid,third-party,human
d125.org,d125.org,,Mid,third-party,human
d3b.jp,d3b.jp,,Mid,third-party,human
dai-ichi-life.co.jp,dai-ichi-life.co.jp,Non-media-industry,Mid,third-party,llm_agreement
daigasgroup.com,daigasgroup.com,Non-media-industry,Mid,third-party,llm_agreement
daily.co.jp,daily.co.jp,Media,Mid,third-party,llm_agreement
dailycaller.com,dailycaller.com,Media,Mid,third-party,llm_agreement
dailycardinal.com,dailycardinal.com,,Mid,third-party,human
renewalministries.com,renewalministries.com,Non-media-industry,Mid,third-party,llm_agreement
rengo-soken.or.jp,rengo-soken.or.jp,Non-media-industry,Mid,third-party,llm_agreement
rep.org,rep.org,Non-media-industry,Mid,third-party,llm_agreement
republicanjobs.gop,republicanjobs.gop,Non-media-industry,Mid,third-party,llm_agreement
republicanviews.org,republicanviews.org,,Mid,third-party,human
researchgate.net,researchgate.net,Platform,Low,third-party,llm_agreement
resilience.org,resilience.org,Non-media-industry,Mid,third-party,llm_agreement
finsmes.com,finsmes.com,Media,Mid,third-party,llm_agreement
fiveable.me,fiveable.me,,Mid,third-party,human
fivethirtyeight.com,fivethirtyeight.com,Media,Mid,third-party,llm_agreement
fleetio.com,fleetio.com,Non-media-industry,Mid,third-party,llm_agreement
fmsnet.co.jp,fmsnet.co.jp,Non-media-industry,Mid,third-party,llm_agreement
fn-group.jp,fn-group.jp,,Mid,third-party,human
fnn.jp,fnn.jp,Media,Mid,third-party,llm_agreement
taira-m.jp,taira-m.jp,Owned,Low,third-party,llm_agreement
taiwantoday.tw,taiwantoday.tw,,Mid,third-party,human
taiyoko-kakaku.jp,taiyoko-kakaku.jp,Non-media-industry,Mid,third-party,llm_agreement
takamura.club,takamura.club,Owned,Low,third-party,llm_agreement
takanawa.ed.jp,takanawa.ed.jp,Academia,High,third-party,llm_agreement
takara-okinawa.jp,takara-okinawa.jp,,Mid,third-party,human
takenokolab.link,takenokolab.link,Owned,Low,third-party,llm_agreement
swedenherald.com,swedenherald.com,Media,Mid,third-party,llm_agreement
swgroup.com,swgroup.com,Non-media-industry,Mid,third-party,llm_agreement
swissinfo.ch,swissinfo.ch,Media,Mid,third-party,llm_agreement
syoha.jp,syoha.jp,,Mid,third-party,human
syokuba-no-jinken.org,syokuba-no-jinken.org,Non-media-industry,Mid,third-party,llm_agreement
t-stars.com,t-stars.com,,Mid,third-party,human
tachibana-fumi.com,tachibana-fumi.com,Owned,Low,third-party,llm_agreement
mtlp.org,mtlp.org,Party,Primary,primary,llm_agreement
mufg.jp,mufg.jp,Non-media-industry,Mid,third-party,llm_agreement
murc.jp,murc.jp,Non-media-industry,Mid,third-party,llm_agreement
musashi-corporation.com,musashi-corporation.com,Non-media-industry,Mid,third-party,llm_agreement
mxtv.jp,mxtv.jp,Media,Mid,third-party,llm_agreement
mynavi.jp,mynavi.jp,Non-media-industry,Mid,third-party,llm_agreement
myri.co.jp,myri.co.jp,Non-media-industry,Mid,third-party,llm_agreement
lasvegassun.com,lasvegassun.com,Media,Mid,third-party,llm_agreement
latimes.com,latimes.com,Media,Mid,third-party,llm_agreement
lawfaremedia.org,lawfaremedia.org,Media,Mid,third-party,llm_agreement
lawliberty.org,lawliberty.org,Media,Mid,third-party,llm_agreement
lawnoted.uk,lawnoted.uk,,Mid,third-party,human
leadingage.org,leadingage.org,Non-media-industry,Mid,third-party,llm_agreement
ledge.ai,ledge.ai,,Mid,third-party,human
tatsumi-kotaro-jump.com,tatsumi-kotaro-jump.com,Owned,Low,third-party,llm_agreement
tatsuyaito.com,tatsuyaito.com,Owned,Low,third-party,llm_agreement
tatsuzin.info,tatsuzin.info,Non-media-industry,Mid,third-party,llm_agreement
tax-justice.com,tax-justice.com,Non-media-industry,Mid,third-party,llm_agreement
taxfoundation.org,taxfoundation.org,Non-media-industry,Mid,third-party,llm_agreement
taxpolicycenter.org,taxpolicycenter.org,Non-media-industry,Mid,third-party,llm_agreement
tb-m.com,tb-m.com,Non-media-industry,Mid,third-party,llm_agreement
otonaken.com,otonaken.com,,Mid,third-party,human
oudaily.com,oudaily.com,Media,Mid,third-party,llm_agreement
oup.com,oup.com,Academia,High,third-party,llm_agreement
oxfordeconomics.com,oxfordeconomics.com,Non-media-industry,Mid,third-party,llm_agreement
oyo.co.jp,oyo.co.jp,Non-media-industry,Mid,third-party,llm_agreement
p2012.org,p2012.org,Owned,Low,third-party,llm_agreement
p2016.org,p2016.org,Owned,Low,third-party,llm_agreement
uva.nl,uva.nl,Academia,High,third-party,llm_agreement
valleynewslive.com,valleynewslive.com,Media,Mid,third-party,llm_agreement
value-press.com,value-press.com,Non-media-industry,Mid,third-party,llm_agreement
vanpeople.com,vanpeople.com,Platform,Low,third-party,llm_agreement
vasquezlawnc.com,vasquezlawnc.com,Non-media-industry,Mid,third-party,llm_agreement
vatcalc.com,vatcalc.com,Non-media-industry,Mid,third-party,llm_agreement
videonews.com,videonews.com,Media,Mid,third-party,llm_agreement
mp.se,mp.se,Party,Primary,primary,llm_agreement
mri.co.jp,mri.co.jp,Non-media-industry,Mid,third-party,llm_agreement
ms.now,ms.now,Media,Mid,third-party,llm_agreement
mskj.or.jp,mskj.or.jp,Academia,High,third-party,llm_agreement
msmagazine.com,msmagazine.com,Media,Mid,third-party,llm_agreement
msn.com,msn.com,,Mid,third-party,human
msnbc.com,msnbc.com,Media,Mid,third-party,llm_agreement
tbs.co.jp,tbs.co.jp,Media,Mid,third-party,llm_agreement
tbsradio.jp,tbsradio.jp,Media,Mid,third-party,llm_agreement
teachforjapan.org,teachforjapan.org,Non-media-industry,Mid,third-party,llm_agreement
teachingamericanhistory.org,teachingamericanhistory.org,Academia,High,third-party,llm_agreement
techcrunch.com,techcrunch.com,Media,Mid,third-party,llm_agreement
techgym.jp,techgym.jp,Non-media-industry,Mid,third-party,llm_agreement
techinformed.com,techinformed.com,Media,Mid,third-party,llm_agreement
hoiku-zenhoren.org,hoiku-zenhoren.org,Non-media-industry,Mid,third-party,llm_agreement
hojyokin-portal.jp,hojyokin-portal.jp,Non-media-industry,Mid,third-party,llm_agreement
hokenmarket.net,hokenmarket.net,Non-media-industry,Mid,third-party,llm_agreement
hokkaido-np.co.jp,hokkaido-np.co.jp,Media,Mid,third-party,llm_agreement
hokkoku.co.jp,hokkoku.co.jp,Media,Mid,third-party,llm_agreement
hokudai.ac.jp,hokudai.ac.jp,Academia,High,third-party,llm_agreement
honjosatoshi.jp,honjosatoshi.jp,Owned,Low,third-party,llm_agreement
dailymail.com,dailymail.com,Media,Mid,third-party,llm_agreement
dailysignal.com,dailysignal.com,Media,Mid,third-party,llm_agreement
dartmouth.edu,dartmouth.edu,Academia,High,third-party,llm_agreement
data-max.co.jp,data-max.co.jp,,Mid,third-party,human
datacenterdynamics.com,datacenterdynamics.com,Media,Mid,third-party,llm_agreement
dataforprogress.org,dataforprogress.org,Non-media-industry,Mid,third-party,llm_agreement
datu-chihoukoumuin.com,datu-chihoukoumuin.com,,Mid,third-party,human
amnesty-jpn.org,amnesty-jpn.org,Non-media-industry,Mid,third-party,llm_agreement
amova-am.com,amova-am.com,Non-media-industry,Mid,third-party,llm_agreement
aoi-mirai.jp,aoi-mirai.jp,,Mid,third-party,human
ap.org,ap.org,Media,Mid,third-party,llm_agreement
apinitiative.org,apinitiative.org,Non-media-industry,Mid,third-party,llm_agreement
apnews.com,apnews.com,Media,Mid,third-party,llm_agreement
apnorc.org,apnorc.org,Academia,High,third-party,llm_agreement
davispolk.com,davispolk.com,Non-media-industry,Mid,third-party,llm_agreement
davisvanguard.org,davisvanguard.org,Media,Mid,third-party,llm_agreement
decn.co.jp,decn.co.jp,Media,Mid,third-party,llm_agreement
defendinged.org,defendinged.org,Non-media-industry,Mid,third-party,llm_agreement
defense.gov,defense.gov,Government,High,third-party,llm_agreement
defensenews.com,defensenews.com,Media,Mid,third-party,llm_agreement
defenseone.com,defenseone.com,Media,Mid,third-party,llm_agreement
visajapan.jp,visajapan.jp,Non-media-industry,Mid,third-party,llm_agreement
visaverge.com,visaverge.com,Media,Mid,third-party,llm_agreement
voanews.com,voanews.com,Government,High,third-party,llm_agreement
votechaseoliver.com,votechaseoliver.com,Owned,Low,third-party,llm_agreement
vox.com,vox.com,Media,Mid,third-party,llm_agreement
wadems.org,wadems.org,Party,Primary,primary,llm_agreement
wagop.org,wagop.org,Party,Primary,primary,llm_agreement
naohiro.biz,naohiro.biz,Owned,Low,third-party,llm_agreement
nasfaa.org,nasfaa.org,Non-media-industry,Mid,third-party,llm_agreement
nationalaffairs.com,nationalaffairs.com,,Mid,third-party,human
nationalinterest.org,nationalinterest.org,Media,Mid,third-party,llm_agreement
nationalreview.com,nationalreview.com,Media,Mid,third-party,llm_agreement
nationaltoday.com,nationaltoday.com,,Mid,third-party,human
nationbuilder.com,nationbuilder.com,,Mid,third-party,human
nativenewsonline.net,nativenewsonline.net,Media,Mid,third-party,llm_agreement
natlawreview.com,natlawreview.com,Media,Mid,third-party,llm_agreement
nato-pa.int,nato-pa.int,Government,High,third-party,llm_agreement
nato.int,nato.int,Government,High,third-party,llm_agreement
natoassociation.ca,natoassociation.ca,Non-media-industry,Mid,third-party,llm_agreement
natori-yasushi.com,natori-yasushi.com,Owned,Low,third-party,llm_agreement
nature.com,nature.com,Academia,High,third-party,llm_agreement
sakura.ne.jp,sakura.ne.jp,Non-media-industry,Mid,third-party,llm_agreement
salish-current.org,salish-current.org,Media,Mid,third-party,llm_agreement
salon.com,salon.com,Media,Mid,third-party,llm_agreement
salujalaw.com,salujalaw.com,Non-media-industry,Mid,third-party,llm_agreement
samejimahiroshi.com,samejimahiroshi.com,Owned,Low,third-party,llm_agreement
sanae.gr.jp,sanae.gr.jp,,Mid,third-party,human
sandovaldemocrats.org,sandovaldemocrats.org,Party,Primary,primary,llm_agreement
163.com,163.com,,Mid,third-party,human
19thnews.org,19thnews.org,Media,Mid,third-party,llm_agreement
2024gopplatform.com,2024gopplatform.com,Party,Primary,primary,llm_agreement
2nn.jp,2nn.jp,,Mid,third-party,human
373news.com,373news.com,Media,Mid,third-party,llm_agreement
3rd-in.co.jp,3rd-in.co.jp,Non-media-industry,Mid,third-party,llm_agreement
401kspecialistmag.com,401kspecialistmag.com,Media,Mid,third-party,llm_agreement
sanfordherald.com,sanfordherald.com,Media,Mid,third-party,llm_agreement
sangiin.go.jp,sangiin.go.jp,Government,High,third-party,llm_agreement
sanin-chuo.co.jp,sanin-chuo.co.jp,Media,Mid,third-party,llm_agreement
sankei.com,sankei.com,Media,Mid,third-party,llm_agreement
sankeibiz.jp,sankeibiz.jp,Media,Mid,third-party,llm_agreement
sanseito-shizuoka.jp,sanseito-shizuoka.jp,Party,Primary,primary,llm_agreement
sanseito.biz,sanseito.biz,,Mid,third-party,human
saitama.jp,saitama.jp,Government,High,third-party,llm_agreement
sakaimanabu.com,sakaimanabu.com,Owned,Low,third-party,llm_agreement
sakanouehr.jp,sakanouehr.jp,Non-media-industry,Mid,third-party,llm_agreement
sakata-reiko.com,sakata-reiko.com,Owned,Low,third-party,llm_agreement
sake-renai-manga.xyz,sake-renai-manga.xyz,Owned,Low,third-party,llm_agreement
sakigake.jp,sakigake.jp,Media,Mid,third-party,llm_agreement
sakisiru.jp,sakisiru.jp,Media,Mid,third-party,llm_agreement
tamura-jcp.info,tamura-jcp.info,,Mid,third-party,human
tanabeconsulting.co.jp,tanabeconsulting.co.jp,Non-media-industry,Mid,third-party,llm_agreement
tandfonline.com,tandfonline.com,Academia,High,third-party,llm_agreement
tansajp.org,tansajp.org,Media,Mid,third-party,llm_agreement
taro-yamamoto.jp,taro-yamamoto.jp,,Mid,third-party,human
taroyamada.jp,taroyamada.jp,Owned,Low,third-party,llm_agreement
tass.com,tass.com,Media,Mid,third-party,llm_agreement
washingtonexaminer.com,washingtonexaminer.com,Media,Mid,third-party,llm_agreement
washingtonmonthly.com,washingtonmonthly.com,Media,Mid,third-party,llm_agreement
washingtonpost.com,washingtonpost.com,Media,Mid,third-party,llm_agreement
washingtontimes.com,washingtontimes.com,Media,Mid,third-party,llm_agreement
washtimes.com,washtimes.com,Media,Mid,third-party,llm_agreement
wbsj.org,wbsj.org,Non-media-industry,Mid,third-party,llm_agreement
wbtw.com,wbtw.com,Media,Mid,third-party,llm_agreement
sanseito.jp,sanseito.jp,Party,Primary,primary,llm_agreement
sanseitofukuoka.jp,sanseitofukuoka.jp,Party,Primary,primary,llm_agreement
sapirjournal.org,sapirjournal.org,Media,Mid,third-party,llm_agreement
sasaki-kensho.jp,sasaki-kensho.jp,Owned,Low,third-party,llm_agreement
sato-nobuaki.jp,sato-nobuaki.jp,Owned,Low,third-party,llm_agreement
sato-yumi.jp,sato-yumi.jp,Owned,Low,third-party,llm_agreement
satsuben.or.jp,satsuben.or.jp,Non-media-industry,Mid,third-party,llm_agreement
defensepriorities.org,defensepriorities.org,Non-media-industry,Mid,third-party,llm_agreement
degruyterbrill.com,degruyterbrill.com,Academia,High,third-party,llm_agreement
dehnbase.org,dehnbase.org,Owned,Low,third-party,llm_agreement
deldems.org,deldems.org,Party,Primary,primary,llm_agreement
deloitte.jp,deloitte.jp,Non-media-industry,Mid,third-party,llm_agreement
demconvention.com,demconvention.com,Party,Primary,primary,llm_agreement
democracychronicles.org,democracychronicles.org,Media,Mid,third-party,llm_agreement
aiipartners.ai,aiipartners.ai,Non-media-industry,Mid,third-party,llm_agreement
aip.org,aip.org,Academia,High,third-party,llm_agreement
airandspaceforces.com,airandspaceforces.com,Media,Mid,third-party,llm_agreement
airitilibrary.com,airitilibrary.com,Academia,High,third-party,llm_agreement
aisi.go.jp,aisi.go.jp,Government,High,third-party,llm_agreement
ajf.gr.jp,ajf.gr.jp,Non-media-industry,Mid,third-party,llm_agreement
ajhc.or.jp,ajhc.or.jp,Non-media-industry,Mid,third-party,llm_agreement
fosterglobal.com,fosterglobal.com,Non-media-industry,Mid,third-party,llm_agreement
fox59.com,fox59.com,Media,Mid,third-party,llm_agreement
foxbusiness.com,foxbusiness.com,Media,Mid,third-party,llm_agreement
foxnews.com,foxnews.com,Media,Mid,third-party,llm_agreement
fpa.org,fpa.org,Non-media-industry,Mid,third-party,llm_agreement
fpif.org,fpif.org,Non-media-industry,Mid,third-party,llm_agreement
fqqz-aa-japan.com,fqqz-aa-japan.com,,Mid,third-party,human
hrn.or.jp,hrn.or.jp,Non-media-industry,Mid,third-party,llm_agreement
ht-tax.or.jp,ht-tax.or.jp,Non-media-industry,Mid,third-party,llm_agreement
hudson.org,hudson.org,Non-media-industry,Mid,third-party,llm_agreement
huffingtonpost.jp,huffingtonpost.jp,Media,Mid,third-party,llm_agreement
hurights.or.jp,hurights.or.jp,Non-media-industry,Mid,third-party,llm_agreement
hyogo.jp,hyogo.jp,Government,High,third-party,llm_agreement
i2i.org,i2i.org,Non-media-industry,Mid,third-party,llm_agreement
sawara-wakako.com,sawara-wakako.com,Owned,Low,third-party,llm_agreement
say-g.com,say-g.com,,Mid,third-party,human
sayakakobayashi.com,sayakakobayashi.com,Owned,Low,third-party,llm_agreement
sbbit.jp,sbbit.jp,Media,Mid,third-party,llm_agreement
sbivc.co.jp,sbivc.co.jp,Non-media-industry,Mid,third-party,llm_agreement
sccdp.org,sccdp.org,Party,Primary,primary,llm_agreement
sccgreens.org,sccgreens.org,Party,Primary,primary,llm_agreement
leftfootforward.org,leftfootforward.org,Media,Mid,third-party,llm_agreement
legal-planet.org,legal-planet.org,Academia,High,third-party,llm_agreement
legalclarity.org,legalclarity.org,Media,Mid,third-party,llm_agreement
legistorm.com,legistorm.com,Non-media-industry,Mid,third-party,llm_agreement
lexology.com,lexology.com,,Mid,third-party,human
liberalcurrents.com,liberalcurrents.com,Media,Mid,third-party,llm_agreement
liberalpatriot.com,liberalpatriot.com,Media,Mid,third-party,llm_agreement
berlinpolicyjournal.com,berlinpolicyjournal.com,Media,Mid,third-party,llm_agreement
bestcolleges.com,bestcolleges.com,Non-media-industry,Mid,third-party,llm_agreement
bethellaw.com,bethellaw.com,Non-media-industry,Mid,third-party,llm_agreement
bgov.com,bgov.com,,Mid,third-party,human
biasly.com,biasly.com,,Mid,third-party,human
bigissue.com,bigissue.com,Media,Mid,third-party,llm_agreement
billmoyers.com,billmoyers.com,,Mid,third-party,human
pace.edu,pace.edu,Academia,High,third-party,llm_agreement
parliament.uk,parliament.uk,Government,High,third-party,llm_agreement
patriotfetch.com,patriotfetch.com,,Mid,third-party,human
paypay-sec.co.jp,paypay-sec.co.jp,Non-media-industry,Mid,third-party,llm_agreement
pbs.org,pbs.org,Media,Mid,third-party,llm_agreement
pbssocal.org,pbssocal.org,Media,Mid,third-party,llm_agreement
pennsylvaniaindependent.com,pennsylvaniaindependent.com,Non-media-industry,Mid,third-party,llm_agreement
naval-technology.com,naval-technology.com,Media,Mid,third-party,llm_agreement
navigatorresearch.org,navigatorresearch.org,Non-media-industry,Mid,third-party,llm_agreement
nbcnews.com,nbcnews.com,Media,Mid,third-party,llm_agreement
nbcnewyork.com,nbcnewyork.com,Media,Mid,third-party,llm_agreement
nbcphiladelphia.com,nbcphiladelphia.com,Media,Mid,third-party,llm_agreement
nbcwashington.com,nbcwashington.com,Media,Mid,third-party,llm_agreement
nc.gop,nc.gop,Party,Primary,primary,llm_agreement
pensionsage.com,pensionsage.com,Media,Mid,third-party,llm_agreement
people.cn,people.cn,Media,Mid,third-party,llm_agreement
peoples-plan.org,peoples-plan.org,,Mid,third-party,human
peoplesdispatch.org,peoplesdispatch.org,Media,Mid,third-party,llm_agreement
pepperdine.edu,pepperdine.edu,Academia,High,third-party,llm_agreement
peraichi.com,peraichi.com,Platform,Low,third-party,llm_agreement
performance.gov,performance.gov,Government,High,third-party,llm_agreement
hoodline.com,hoodline.com,Media,Mid,third-party,llm_agreement
hoover.org,hoover.org,,Mid,third-party,human
horiikenji.jp,horiikenji.jp,Owned,Low,third-party,llm_agreement
hoshuto.jp,hoshuto.jp,Party,Primary,primary,llm_agreement
house.gov,house.gov,Government,High,third-party,llm_agreement
houstonpublicmedia.org,houstonpublicmedia.org,Media,Mid,third-party,llm_agreement
hr-party.jp,hr-party.jp,Party,Primary,primary,llm_agreement
web.nhk,web.nhk,Media,Mid,third-party,llm_agreement
weblio.jp,weblio.jp,,Mid,third-party,human
weebly.com,weebly.com,Platform,Low,third-party,llm_agreement
wenweipo.com,wenweipo.com,Media,Mid,third-party,llm_agreement
wenxuecity.com,wenxuecity.com,Platform,Low,third-party,llm_agreement
wfyi.org,wfyi.org,Media,Mid,third-party,llm_agreement
whitehouse.gov,whitehouse.gov,Government,High,third-party,llm_agreement
mihoniti.com,mihoniti.com,Media,Mid,third-party,llm_agreement
mikishinjiro.com,mikishinjiro.com,Owned,Low,third-party,llm_agreement
military.com,military.com,Media,Mid,third-party,llm_agreement
militaryfamily.org,militaryfamily.org,Non-media-industry,Mid,third-party,llm_agreement
militarytimes.com,militarytimes.com,Media,Mid,third-party,llm_agreement
millercenter.org,millercenter.org,Academia,High,third-party,llm_agreement
minkabu.jp,minkabu.jp,,Mid,third-party,human
jimin-douren.co.jp,jimin-douren.co.jp,Party,Primary,primary,llm_agreement
jimin-iwate.gr.jp,jimin-iwate.gr.jp,Party,Primary,primary,llm_agreement
jimin-miyagi.or.jp,jimin-miyagi.or.jp,Party,Primary,primary,llm_agreement
jimin-nagano.jp,jimin-nagano.jp,Party,Primary,primary,llm_agreement
jimin-saitama.net,jimin-saitama.net,Party,Primary,primary,llm_agreement
jimin-sendai.com,jimin-sendai.com,Party,Primary,primary,llm_agreement
jimin-shiga.jp,jimin-shiga.jp,Party,Primary,primary,llm_agreement
britannica.com,britannica.com,,Mid,third-party,human
broadbandbreakfast.com,broadbandbreakfast.com,Media,Mid,third-party,llm_agreement
broadbandsearch.net,broadbandsearch.net,Non-media-industry,Mid,third-party,llm_agreement
brookings.edu,brookings.edu,Non-media-industry,Mid,third-party,llm_agreement
browarddemocrats.org,browarddemocrats.org,Party,Primary,primary,llm_agreement
brown.edu,brown.edu,Academia,High,third-party,llm_agreement
bruegel.org,bruegel.org,Non-media-industry,Mid,third-party,llm_agreement
denryoku-gas.jp,denryoku-gas.jp,Non-media-industry,Mid,third-party,llm_agreement
dentons.com,dentons.com,Non-media-industry,Mid,third-party,llm_agreement
denverdemocrats.org,denverdemocrats.org,Party,Primary,primary,llm_agreement
detroitnews.com,detroitnews.com,Media,Mid,third-party,llm_agreement
dfer.org,dfer.org,Non-media-industry,Mid,third-party,llm_agreement
dfwworld.org,dfwworld.org,Non-media-industry,Mid,third-party,llm_agreement
dhs.gov,dhs.gov,Government,High,third-party,llm_agreement
thecentersquare.com,thecentersquare.com,Media,Mid,third-party,llm_agreement
